,root,Resource Name,Average Duration,Error Count,Error Rate,Average Data Transfered,Average loc start,Average loc end,Average order
0,/currency,/currency,182078.4,51,0.0,4891.6,0,182078.4,0.0
1,/currency,/getconversion,136137.3,51,0.0,5100.7,100000,236137.3,0.5
2,/currency,/money,45588.2,51,0.0,4638.4,200000,245588.2,1.0
0,/shipping,/address,49735.5,121,0.0,5068.9,200000,249735.5,1.0
1,/shipping,/getquote,307272.7,121,0.0,5139.9,100000,407272.7,0.5
2,/shipping,/shipping,352314.0,121,0.0,4872.1,0,352314.0,0.0
0,/checkout,/address,52000.0,87,0.0,5042.2,200000,252000.0,3.0
1,/checkout,/checkout,1625361.3,119,0.403,4890.7,0,1625361.3,0.0
2,/checkout,/creditcardinfo,25609.2,87,0.0,5232.3,200000,225609.2,2.3
3,/checkout,/getcart,90103.4,87,0.0,4733.3,200000,290103.4,3.2
4,/checkout,/getconversion,155471.3,87,0.0,4680.1,200000,355471.3,3.4
5,/checkout,/money,50620.7,87,0.0,5249.2,300000,350620.7,3.9
6,/checkout,/orderresult,44577.5,71,0.0,4621.8,300000,344577.5,3.6
7,/checkout,/placeorder,780773.1,119,0.403,4887.0,100000,880773.1,0.5
8,/checkout,/sendorderconfirmation,484092.0,87,0.184,4084.3,200000,684092.0,3.1
0,/product,/adrequest,246023.4,728,0.0,5154.3,100000,346023.4,1.1
1,/product,/getproducts,54748.6,1456,0.0,4898.1,150000,204748.6,2.0
2,/product,/getrecommendations,254630.5,728,0.0,5093.9,100000,354630.5,1.7
3,/product,/product,527575.5,728,0.0,5133.4,0,527575.5,0.0
0,/cart,/cart,360512.1,3644,0.0,5007.0,0,360512.1,0.0
1,/cart,/getcart,100416.9,3644,0.0,5019.4,100000,200416.9,0.7
2,/cart,/getproducts,55692.1,3644,0.0,5025.5,200000,255692.1,1.8
3,/cart,/getrecommendations,256827.1,3644,0.0,4993.3,100000,356827.1,1.3
