,Resource Name,Duration,Trace_ID,ID,Parent_ID,Error?,duration_start,duration_end,Data Transfered,order,loc start,loc end,keep,depth
5025,/cart,486000,9ed8f643d9903a64,9ed8f643d9903a64,Na,false,0,486000,8945.9,0.0,0,486000,True,0
5026,/getcart,1,9ed8f643d9903a64,86b57793604e2c4c,9ed8f643d9903a64,false,486000,486001,2259.8,0.5,100000,100001,True,1
5027,/getrecommendations,375000,9ed8f643d9903a64,a36993782fcc8668,9ed8f643d9903a64,false,486001,861001,251.8,1.5,100000,475000,True,1
5028,/getproducts,36000,9ed8f643d9903a64,8676376a6e1c6360,a36993782fcc8668,false,861001,897001,2719.6,2.0,200000,236000,True,2
4129,/getproducts,99000,314f30820bb97f58,ecf5fe3927105af5,1d8ab97c2d0499b7,false,0,99000,6704.8,2.0,200000,299000,True,2
4130,/getcart,120000,314f30820bb97f58,50a5ba3691feb5d7,314f30820bb97f58,false,99000,219000,6974.3,0.5,100000,220000,True,1
4131,/cart,371000,314f30820bb97f58,314f30820bb97f58,Na,false,219000,590000,1570.5,0.0,0,371000,True,0
4132,/getrecommendations,327000,314f30820bb97f58,1d8ab97c2d0499b7,314f30820bb97f58,false,590000,917000,80.7,1.5,100000,427000,True,1
4235,/getproducts,7000,6bf40065fe9d7980,d0d71d40f76b9e6e,405132c7cea45c15,false,0,7000,5811.5,1.0,200000,207000,True,2
4236,/cart,230000,6bf40065fe9d7980,6bf40065fe9d7980,Na,false,7000,237000,141.2,0.0,0,230000,True,0
4237,/getrecommendations,185000,6bf40065fe9d7980,405132c7cea45c15,6bf40065fe9d7980,false,237000,422000,3108.3,0.5,100000,285000,True,1
4238,/getcart,64000,6bf40065fe9d7980,c49251386f81aff4,6bf40065fe9d7980,false,422000,486000,1447.3,1.5,100000,164000,True,1
6350,/getproducts,14000,7666f6f69ba60a73,58e87dd47ebaf9b5,4e818ec8efcfe2bb,false,0,14000,3444.4,2.0,200000,214000,True,2
6351,/getcart,132000,7666f6f69ba60a73,bba8f7cd65a5a1ac,7666f6f69ba60a73,false,14000,146000,3970.9,0.5,100000,232000,True,1
6352,/getrecommendations,383000,7666f6f69ba60a73,4e818ec8efcfe2bb,7666f6f69ba60a73,false,146000,529000,8460.2,1.5,100000,483000,True,1
6353,/cart,500000,7666f6f69ba60a73,7666f6f69ba60a73,Na,false,529000,1029000,1913.6,0.0,0,500000,True,0
9166,/cart,176000,f8dc3e67b3292e5a,f8dc3e67b3292e5a,Na,false,0,176000,7260.6,0.0,0,176000,True,0
9167,/getrecommendations,91000,f8dc3e67b3292e5a,1a3466992c94cda0,f8dc3e67b3292e5a,false,176000,267000,3848.7,0.5,100000,191000,True,1
9168,/getproducts,2000,f8dc3e67b3292e5a,3b3de13331a1082a,1a3466992c94cda0,false,267000,269000,1485.1,1.0,200000,202000,True,2
9169,/getcart,9000,f8dc3e67b3292e5a,b31c14877ce98a51,f8dc3e67b3292e5a,false,269000,278000,6947.2,1.5,100000,109000,True,1
8607,/cart,350000,ffdb50d2a2d18c5b,ffdb50d2a2d18c5b,Na,false,0,350000,2709.6,0.0,0,350000,True,0
8608,/getcart,196000,ffdb50d2a2d18c5b,e92bfa3753e14fdc,ffdb50d2a2d18c5b,false,350000,546000,5461.7,0.5,100000,296000,True,1
8609,/getproducts,24000,ffdb50d2a2d18c5b,11bbc1d4345fd62d,eaad9d60ec194109,false,546000,570000,6631.9,2.0,200000,224000,True,2
8610,/getrecommendations,225000,ffdb50d2a2d18c5b,eaad9d60ec194109,ffdb50d2a2d18c5b,false,570000,795000,8428.8,1.5,100000,325000,True,1
3659,/getrecommendations,219000,cf62c4494714ae8d,eaad0af7ab51b3a1,cf62c4494714ae8d,false,0,219000,1415.6,0.5,100000,319000,True,1
3660,/cart,340000,cf62c4494714ae8d,cf62c4494714ae8d,Na,false,219000,559000,3193.0,0.0,0,340000,True,0
3661,/getcart,47000,cf62c4494714ae8d,7e1196ad7d0f8dab,cf62c4494714ae8d,false,559000,606000,1088.7,1.5,100000,147000,True,1
3662,/getproducts,46000,cf62c4494714ae8d,dd79f5e190867685,eaad0af7ab51b3a1,false,606000,652000,1145.1,1.0,200000,246000,True,2
2844,/getcart,84000,b617833ffd8c325c,1915146b23aa9592,b617833ffd8c325c,false,0,84000,971.9,0.5,100000,184000,True,1
2845,/getrecommendations,346000,b617833ffd8c325c,a19aaf25b350b3fa,b617833ffd8c325c,false,84000,430000,6954.6,1.5,100000,446000,True,1
2846,/getproducts,46000,b617833ffd8c325c,041a10c0360e991d,a19aaf25b350b3fa,false,430000,476000,3543.1,2.0,200000,246000,True,2
2847,/cart,495000,b617833ffd8c325c,b617833ffd8c325c,Na,false,476000,971000,4779.7,0.0,0,495000,True,0
9840,/getcart,41000,5ae3611a13e802e4,78b9f9288021be9e,5ae3611a13e802e4,false,0,41000,761.7,0.5,100000,141000,True,1
9841,/cart,416000,5ae3611a13e802e4,5ae3611a13e802e4,Na,false,41000,457000,4888.4,0.0,0,416000,True,0
9842,/getproducts,4000,5ae3611a13e802e4,af783a816ac8f5e2,f97920cc3d82da2d,false,457000,461000,8562.7,2.0,200000,204000,True,2
9843,/getrecommendations,300000,5ae3611a13e802e4,f97920cc3d82da2d,5ae3611a13e802e4,false,461000,761000,6759.9,1.5,100000,400000,True,1
10795,/getcart,180000,f2ef335b0072f657,35b98ed6c0c266af,f2ef335b0072f657,false,0,180000,4083.1,0.5,100000,280000,True,1
10796,/getproducts,1000,f2ef335b0072f657,2ff94a2d1a99e579,71a156066399e749,false,180000,181000,4768.9,2.0,200000,201000,True,2
10797,/cart,363000,f2ef335b0072f657,f2ef335b0072f657,Na,false,181000,544000,2699.0,0.0,0,363000,True,0
10798,/getrecommendations,234000,f2ef335b0072f657,71a156066399e749,f2ef335b0072f657,false,544000,778000,5726.8,1.5,100000,334000,True,1
2301,/cart,414000,9854397d31d95f0d,9854397d31d95f0d,Na,false,0,414000,2507.0,0.0,0,414000,True,0
2302,/getcart,21000,9854397d31d95f0d,ed326f9a82ee07ef,9854397d31d95f0d,false,414000,435000,6671.8,0.5,100000,121000,True,1
2303,/getproducts,29000,9854397d31d95f0d,edb37ca2ccada8ec,a023424b1e0150ea,false,435000,464000,556.9,2.0,200000,229000,True,2
2304,/getrecommendations,331000,9854397d31d95f0d,a023424b1e0150ea,9854397d31d95f0d,false,464000,795000,8767.6,1.5,100000,431000,True,1
14191,/getrecommendations,212000,b6384866721dfd61,112f3a07ee06f925,b6384866721dfd61,false,0,212000,7262.8,0.5,100000,312000,True,1
14192,/getproducts,39000,b6384866721dfd61,bba6729adb126f6a,112f3a07ee06f925,false,212000,251000,3059.1,1.0,200000,239000,True,2
14193,/cart,342000,b6384866721dfd61,b6384866721dfd61,Na,false,251000,593000,7887.1,0.0,0,342000,True,0
14194,/getcart,142000,b6384866721dfd61,cd682eeb68c18ab6,b6384866721dfd61,false,593000,735000,1164.5,1.5,100000,242000,True,1
14522,/getrecommendations,308000,c59bb79d8351e5fd,d8a658b7f6dc06da,c59bb79d8351e5fd,false,0,308000,2432.4,0.5,100000,408000,True,1
14523,/getproducts,82000,c59bb79d8351e5fd,d68dac7a63970335,d8a658b7f6dc06da,false,308000,390000,2259.8,1.0,200000,282000,True,2
14524,/cart,443000,c59bb79d8351e5fd,c59bb79d8351e5fd,Na,false,390000,833000,6839.4,0.0,0,443000,True,0
14525,/getcart,153000,c59bb79d8351e5fd,9d5a79ac0b1db803,c59bb79d8351e5fd,false,833000,986000,6029.1,1.5,100000,253000,True,1
18724,/getcart,43000,49d6daaadf7518b7,63c324f8bf789581,49d6daaadf7518b7,false,0,43000,7709.3,0.5,100000,143000,True,1
18725,/getproducts,94000,49d6daaadf7518b7,610b020e464d47d0,5f3021d53bbb549c,false,43000,137000,4388.8,2.0,200000,294000,True,2
18726,/cart,297000,49d6daaadf7518b7,49d6daaadf7518b7,Na,false,137000,434000,9909.3,0.0,0,297000,True,0
18727,/getrecommendations,237000,49d6daaadf7518b7,5f3021d53bbb549c,49d6daaadf7518b7,false,434000,671000,7746.1,1.5,100000,337000,True,1
